Description,AverageCost ,MinCost ,MaxCost ,Occurrences,Total,RowsBelow
Abdominal Hernia Procedures,3204.563427,1651.283502,5134.687483,12432,37867882.7,4
Abdominal Pain with Interventions,2561.013564,2561.013564,2561.013564,5429,13903742.64,1
Abdominal Pain without Interventions,707.284063,707.284063,707.284063,209400,148105282.8,1
Abnormal Findings without Diagnosis,1363.689349,524.4527867,2659.606938,12458,8693148.61,3
Acquired Pure Red Cell Aplasia or Other Aplastic Anaemia,1680.217091,761.705375,3149.197683,6379,9561223.76,4
Actual or Suspected Myocardial Infarction,1773.293276,949.4852404,2990.237071,118962,178141824.3,5
Acupuncture for Pain Management,100.1296318,100.1296318,100.1296318,56769,5684259.07,1
Acute Kidney Injury with Interventions,5314.742718,3910.694215,6914.989017,8572,41981773.87,3
Acute Kidney Injury without Interventions,2070.589276,1203.206285,3178.609963,82698,140061895.9,4
Acute Lymphoblastic Leukaemia with CC Score 0-1,1155.801691,1155.801691,1155.801691,3093,3574894.63,1
Acute Lymphoblastic Leukaemia with CC Score 2-4,2879.802467,2879.802467,2879.802467,1293,3723584.59,1
Acute Lymphoblastic Leukaemia with CC Score 5+,10209.64457,10209.64457,10209.64457,774,7902264.9,1
Acute Myeloid Leukaemia with CC Score 0-1,952.1777311,952.1777311,952.1777311,7660,7293681.42,1
Acute Myeloid Leukaemia with CC Score 12+,13430.79928,13430.79928,13430.79928,1312,17621208.66,1
Acute Myeloid Leukaemia with CC Score 2-3,2345.751117,2345.751117,2345.751117,4065,9535478.29,1
Acute Myeloid Leukaemia with CC Score 4-5,5104.223294,5104.223294,5104.223294,2134,10892412.51,1
Acute Myeloid Leukaemia with CC Score 6-8,7563.073024,7563.073024,7563.073024,1799,13605968.37,1
Acute Myeloid Leukaemia with CC Score 9-11,9790.06378,9790.06378,9790.06378,1074,10514528.5,1
Adenoidectomy,1289.17215,1289.17215,1289.17215,9002,11605127.69,1
Adenotonsillectomy,1646.356566,1646.356566,1646.356566,17431,28697641.31,1
Adjustment of Dental Device,128.6290844,127.9131531,129.3450157,231648,29707896.09,2
Admission Related to Donation,799.1769873,799.1769873,799.1769873,946,756021.43,1
Admission Related to Social Factors with Interventions,3570.872817,3570.872817,3570.872817,252,899859.95,1
Admission Related to Social Factors without Interventions,981.6879132,739.2648972,1224.110929,18517,17690887.25,2
Admission Related to the,1696.791839,335.3745299,3058.209147,4910,3402917.27,2
Adrenal Procedures with CC Score 0-1,4448.595208,4448.595208,4448.595208,578,2571288.03,1
Adrenal Procedures with CC Score 2+,6264.028369,6264.028369,6264.028369,423,2649684,1
Adult Critical Care,1552.370133,700.3243071,2456.206148,1479312,1933844307,7
Agranulocytosis with CC Score 0-1,1083.028464,1083.028464,1083.028464,1276,1381944.32,1
Agranulocytosis with CC Score 13+,3843.727677,3843.727677,3843.727677,198,761058.08,1
Agranulocytosis with CC Score 2-4,1583.916773,1583.916773,1583.916773,2169,3435515.48,1
Agranulocytosis with CC Score 5-8,1879.102225,1879.102225,1879.102225,1564,2938915.88,1
Agranulocytosis with CC Score 9-12,2661.197442,2661.197442,2661.197442,520,1383822.67,1
Airflow Studies,190.0832914,190.0832914,190.0832914,110041,20916955.47,1
All patients 18 years and younger with a Mental Health Primary Diagnosis,676.2032287,676.2032287,676.2032287,223,150793.32,1
All patients 70 years and older with a Mental Health Primary Diagnosis,2551.119404,2551.119404,2551.119404,55817,142395831.8,1
All patients between 19 and 69 years with a Mental Health Primary Diagnosis,909.2488332,909.2488332,909.2488332,92230,83860019.89,1
Allergen Immunotherapy Drugs,478.9781787,478.9781787,478.9781787,48261,23115965.88,1
Allergic Emergency Drugs,2567.419228,2567.419228,2567.419228,4028,10341564.65,1
Allergy or Adverse Allergic Reaction,477.3354054,477.3354054,477.3354054,9274,4426808.55,1
Alveolar Carbon Monoxide Measurement or Smoking Cessation Support,155.3603054,155.3603054,155.3603054,1408,218747.31,1
Amputation of Multiple Limbs with CC Score 0-9,16966.01135,16966.01135,16966.01135,289,4903177.28,1
Amputation of Multiple Limbs with CC Score 10+,22616.97561,22616.97561,22616.97561,344,7780239.61,1
Amputation of Single Limb with CC Score 0-9,8811.979251,8811.979251,8811.979251,1977,17421282.98,1
Amputation of Single Limb with CC Score 10+,12797.27273,12797.27273,12797.27273,1282,16406103.64,1
Amputation of Single Limb with Other Blood Vessel Procedure,18290.0086,16019.10726,20560.90994,690,12592855.12,2
Amyotrophic Lateral Sclerosis Drugs,53.88786922,53.88786922,53.88786922,2248,121139.93,1
Analgesic Drugs,442.0714286,442.0714286,442.0714286,1568,693168,1
Angina with CC Score 0-3,552.1424059,552.1424059,552.1424059,16135,8908817.72,1
Angina with CC Score 12+,1389.16532,1389.16532,1389.16532,2404,3339553.43,1
Angina with CC Score 4-7,677.4882158,677.4882158,677.4882158,25103,17006986.68,1
Angina with CC Score 8-11,870.7707227,870.7707227,870.7707227,10737,9349465.25,1
Ante-Natal Complex Disorders with CC Score 0-1,1107.129451,1107.129451,1107.129451,23546,26068470.05,1
Ante-Natal Complex Disorders with CC Score 2+,1693.62964,1693.62964,1693.62964,3610,6114003,1
Ante-Natal False Labour,755.7403742,616.9546819,894.5260665,92997,59529998.78,2
Ante-Natal Major Disorders with CC Score 0-1,642.114563,642.114563,642.114563,243833,156568720.2,1
Ante-Natal Major Disorders with CC Score 2+,862.4112918,862.4112918,862.4112918,27759,23939675.05,1
Ante-Natal Other Disorders with CC Score 0-1,558.7971732,558.7971732,558.7971732,38864,21717093.34,1
Ante-Natal Other Disorders with CC Score 2+,650.8687844,650.8687844,650.8687844,3340,2173901.74,1
Ante-Natal Routine Observation,464.0767898,464.0767898,464.0767898,135003,62651758.86,1
Ante-Natal Specialised Ultrasound Scan,135.0835524,135.0835524,135.0835524,49060,6627199.08,1
Ante-Natal Standard Ultrasound Scan,103.8393986,103.8393986,103.8393986,637680,66216307.67,1
Ante-Natal Therapeutic Procedures,1171.513215,847.1458756,1495.880555,18607,16604900.92,2
Anterior Pituitary Disorders with CC Score 0-1,499.985025,499.985025,499.985025,3994,1996940.19,1
Anterior Pituitary Disorders with CC Score 2+,1118.536052,1118.536052,1118.536052,1236,1382510.56,1
Anti Fungal Drugs,1586.674656,1532.027863,1641.32145,54494,84672598.95,2
Antibacterial Drugs Band 1,199.168363,199.168363,199.168363,15657,3118379.06,1
Antiretroviral Drugs,744.0577904,744.0577904,744.0577904,337619,251208047.2,1
Appendicectomy Procedures,4227.882983,2981.618799,6005.08254,48948,164565202.4,7
Arm Fracture with Interventions,3586.84653,2431.390219,5238.425464,2132,7184778.62,3
Arm Fracture without Interventions,2137.366319,1048.099276,3604.036614,27318,44073262.74,5
Arrhythmia or Conduction Disorders,1545.612909,664.9867609,2835.967439,179645,179047406.6,5
Arteriography,1255.446381,1255.446381,1255.446381,3769,4731777.41,1
Assessment for Rehabilitation,165.3928302,121.2518327,217.4583061,162663,25728285.79,3
Assisted Automated Peritoneal Dialysis,45.27010365,0,90.5402073,106031,9600068.72,2
Assisted Delivery,3665.306412,2648.499125,4958.792768,69627,234719293.1,12
Assisted Delivery with CC Score 0,2142.66635,2142.66635,2142.66635,9315,19958937.05,1
Assisted Delivery with CC Score 1,2489.353776,2489.353776,2489.353776,3207,7983357.56,1
Assisted Delivery with CC Score 2+,2888.607546,2888.607546,2888.607546,1740,5026177.13,1
Asthma with Interventions,2799.420173,2799.420173,2799.420173,1154,3230530.88,1
Asthma without Interventions,1151.991691,663.1665575,1751.493812,69307,57133482.35,4
Attention to Arteriovenous Fistula,1432.430866,1432.430866,1432.430866,4147,5940290.8,1
Attention to Cardiac Pacemaker or Cardioverter Defibrillator,3183.909269,2651.625156,3716.193382,1069,3051759.21,2
Attention to Central Venous Catheter,366.3819094,291.3987739,441.3650448,111820,33520900.23,2
Attention to Subcutaneous Port,312.1171096,312.1171096,312.1171096,4335,1353027.67,1
Attention to Suprapubic Bladder Catheter,394.7177974,394.7177974,394.7177974,15940,6291801.69,1
Audiometry or Hearing Assessment,83.42103198,75.92248552,88.77007064,772095,61585132.9,3
Automated Peritoneal Dialysis,87.05550693,72.66581781,101.4451961,592549,43772217.95,2
Balance Assessment,107.1877121,107.1877121,107.1877121,22636,2426301.05,1
Bilateral Cochlear Implants,29205.56692,29205.56692,29205.56692,302,8820081.21,1
Bilateral Core Needle Biopsy of Lesions of Breasts,384.1965148,384.1965148,384.1965148,812,311967.57,1
Bilateral Delayed Free Perforator Flap Breast Reconstruction,11097.73577,11097.73577,11097.73577,201,2230644.89,1
Bilateral Delayed Pedicled Myocutaneous Breast Reconstruction,5437.275708,5437.275708,5437.275708,240,1304946.17,1
Bilateral Excision of Breast with Immediate Free Perforator Flap Reconstruction,13095.74834,13095.74834,13095.74834,350,4583511.92,1
Bilateral Excision of Breast with Immediate Pedicled Myocutaneous Flap Reconstruction,7046.062546,7046.062546,7046.062546,1096,7722484.55,1
Bilateral Fine Needle Aspiration of Lesions of Breasts,224.7179148,224.7179148,224.7179148,681,153032.9,1
Bilateral Intermediate Breast Procedures,1796.244686,1796.244686,1796.244686,1304,2342303.07,1
Bilateral Major Breast Procedures with CC Score 0,3381.935517,3381.935517,3381.935517,3772,12756660.77,1
Bilateral Major Breast Procedures with CC Score 1+,3808.578464,3808.578464,3808.578464,3112,11852296.18,1
Bilateral Major Breast Procedures with Lymph Node Clearance,5350.363264,5350.363264,5350.363264,383,2049189.13,1
Bilateral Minor Breast Procedures,488.2516877,488.2516877,488.2516877,871,425267.22,1
Bilateral or Multiple,1399.098329,1399.098329,1399.098329,1406,1967132.25,1
Bilateral Therapeutic Mammoplasty,4736.162243,4736.162243,4736.162243,321,1520308.08,1
Blood Products,1016.38944,161.4875,1871.291379,27908,52203482.16,2
Bone Marrow Harvest,1857.223385,1857.223385,1857.223385,257,477306.41,1
Bone Marrow Transplant,56384.67939,5786.75383,108760.4531,299,13826108.04,10
Bone Metabolism Drugs,369.9029587,369.9029587,369.9029587,3248,1201444.81,1
Bone Morphogenetic Proteins,624.0173272,624.0173272,624.0173272,984,614033.05,1
Brain Tumours or Cerebral Cysts,2574.045658,1151.188037,4886.721454,25688,58705250.56,6
Breath Test,298.3285769,298.3285769,298.3285769,1040,310261.72,1
Bronchial Challenge Studies,124.4707874,124.4707874,124.4707874,2540,316155.8,1
Bronchiectasis with CC Score 0-1,869.2762863,869.2762863,869.2762863,3137,2726919.71,1
Bronchiectasis with CC Score 2-4,1484.623463,1484.623463,1484.623463,7464,11081229.53,1
Bronchiectasis with CC Score 5-7,1720.419676,1720.419676,1720.419676,5718,9837359.71,1
Bronchiectasis with CC Score 8+,2530.649038,2530.649038,2530.649038,4118,10421212.74,1
Bronchodilator Studies,173.8212099,173.8212099,173.8212099,10166,1767066.42,1
Bronchopneumonia with Multiple Interventions,6008.419482,6008.419482,6008.419482,309,1856601.62,1
Bronchopneumonia with Single Intervention,3764.302225,2894.617061,4633.98739,1156,4179335.71,2
Bronchopneumonia without Interventions,1940.146916,1241.269227,2784.879379,15616,28587342.93,3
Bypass to Tibial Arteries with CC Score 0-6,8978.778355,8978.778355,8978.778355,304,2729548.62,1
Bypass to Tibial Arteries with CC Score 7+,11890.43667,11890.43667,11890.43667,156,1854908.12,1
Cancer Hormonal Treatment Drugs Band 1,1497.006699,1497.006699,1497.006699,4368,6538925.26,1
Cancer Supportive Drugs Band 1,31.24700033,31.24700033,31.24700033,14965,467611.36,1
Carbon Monoxide Transfer Factor Test,154.8776225,154.8776225,154.8776225,44185,6843267.75,1
Cardiac Arrest with CC Score 0-4,1068.388175,1068.388175,1068.388175,1200,1282065.81,1
Cardiac Arrest with CC Score 5-8,1415.860152,1415.860152,1415.860152,1445,2045917.92,1
Cardiac Arrest with CC Score 9+,2291.930031,2291.930031,2291.930031,1593,3651044.54,1
Cardiac Magnetic Resonance Imaging Scan with post contrast only,211.2434262,211.2434262,211.2434262,4381,925457.45,1
Cardiac Magnetic Resonance Imaging Scan with pre and post contrast,328.3551884,328.3551884,328.3551884,9660,3171911.12,1
Cardiac Magnetic Resonance Imaging Scan without contrast,256.0997647,256.0997647,256.0997647,47004,12037713.34,1
Cardiac Valve Disorders with CC Score 0-4,1477.569682,1477.569682,1477.569682,4804,7098244.75,1
Cardiac Valve Disorders with CC Score 13+,4598.918616,4598.918616,4598.918616,1308,6015385.55,1
Cardiac Valve Disorders with CC Score 5-8,2150.518947,2150.518947,2150.518947,6211,13356873.18,1
Cardiac Valve Disorders with CC Score 9-12,3002.628535,3002.628535,3002.628535,4238,12725139.73,1
Cardio Pulmonary Exercise Testing,173.7336585,173.7336585,173.7336585,24893,4324751.96,1
Cerebral Degenerations or Miscellaneous Disorders of Nervous System,2872.496192,1096.316126,6108.032391,66811,122385058.3,5
Cerebrovascular Accident,3724.636676,1619.630264,7125.897113,25060,66014201.42,5
Chest Physiotherapy,260.9996514,260.9996514,260.9996514,7114,1856751.52,1
Chronic Kidney Disease with Interventions,5369.432921,3838.798575,7290.750631,3128,16319430.5,3
Chronic Kidney Disease without Interventions,2196.26838,1063.576682,3332.630668,17465,27897108.38,5
Chronic Lymphocytic Leukaemia,1572.32358,505.2916396,3429.42931,13216,11072306.79,4
Chronic Obstructive Pulmonary Disease or Bronchitis,2683.280477,473.4413555,5320.539118,222390,277811545.1,10
Clearance of External Auditory Canal,134.4575303,105.9262735,162.9887871,412223,46496859.34,2
Coagulation Defect with CC Score 0-1,825.2429253,825.2429253,825.2429253,3145,2595389,1
Coagulation Defect with CC Score 2-4,1058.972603,1058.972603,1058.972603,1506,1594812.74,1
Coagulation Defect with CC Score 5+,2668.024896,2668.024896,2668.024896,1150,3068228.63,1
Cognitive Behavioural Therapy as part of a Pain Management Programme,496.8533333,496.8533333,496.8533333,6,2981.12,1
Collection of Sperm,337.9218799,337.9218799,337.9218799,4080,1378721.27,1
Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures,620.2779632,620.2779632,620.2779632,7890,4893993.13,1
Combined Upper and Lower Gastrointestinal Tract Diagnostic Endoscopic Procedures with Biopsy,1195.72023,686.1403876,1705.300072,57727,43981021.2,2
Combined Upper and Lower Gastrointestinal Tract Therapeutic Endoscopic Procedures,732.4546931,732.4546931,732.4546931,13669,10011923.2,1
Complex,8558.756229,1429.33435,20250.75011,58662,378606242.8,48
Complex Cardiac Catheterisation with CC Score 0-1,1454.224568,1454.224568,1454.224568,2894,4208525.9,1
Complex Cardiac Catheterisation with CC Score 2-3,1663.815082,1663.815082,1663.815082,3516,5849973.83,1
Complex Cardiac Catheterisation with CC Score 4-6,2290.3615,2290.3615,2290.3615,2274,5208282.05,1
Complex Cardiac Catheterisation with CC Score 7+,3782.417021,3782.417021,3782.417021,866,3275573.14,1
Complex Computerised Tomography Scan,138.7498892,138.7498892,138.7498892,60553,8401722.04,1
Complex Coronary Artery Bypass Graft with CC Score 0-4,10255.37876,10255.37876,10255.37876,574,5886587.41,1
Complex Coronary Artery Bypass Graft with CC Score 10+,14776.08789,14776.08789,14776.08789,265,3915663.29,1
Complex Coronary Artery Bypass Graft with CC Score 5-9,11643.79438,11643.79438,11643.79438,489,5693815.45,1
Complex Ear Procedures,3641.520078,3641.520078,3641.520078,1290,4697560.9,1
Complex Echocardiogram,253.0421147,253.0421147,253.0421147,78667,19906064.04,1
Complex Echocardiogram for Congenital Heart Disease,273.2598791,273.2598791,273.2598791,19606,5357533.19,1
Complex Endoscopic,3552.251458,2525.932588,5629.38869,13155,38880274.84,5
Complex Endoscopic Bladder Procedures with CC Score 0-2,2574.330039,2574.330039,2574.330039,1034,2661857.26,1
Complex Endoscopic Bladder Procedures with CC Score 3+,6506.318106,6506.318106,6506.318106,977,6356672.79,1
Complex Endovascular Repair of,18062.47652,18062.47652,18062.47652,250,4515619.13,1
Complex Endovascular Repair of Abdominal Aortic Aneurysm,12129.15596,12129.15596,12129.15596,1913,23203075.35,1
Complex Extradural Spinal Procedures with CC Score 0-1,7198.45074,7198.45074,7198.45074,1609,11582307.24,1
Complex Extradural Spinal Procedures with CC Score 2-3,8328.280938,8328.280938,8328.280938,746,6212897.58,1
Complex Extradural Spinal Procedures with CC Score 4+,12685.32703,12685.32703,12685.32703,458,5809879.78,1
Complex General Abdominal Procedures with CC Score 0-2,5716.971431,5716.971431,5716.971431,503,2875636.63,1
Complex General Abdominal Procedures with CC Score 3-5,8575.258578,8575.258578,8575.258578,225,1929433.18,1
Complex General Abdominal Procedures with CC Score 6+,13460.33624,13460.33624,13460.33624,173,2328638.17,1
Complex Hernia Procedures with CC Score 0,2391.931615,2391.931615,2391.931615,2080,4975217.76,1
Complex Hernia Procedures with CC Score 1-2,3810.209514,3810.209514,3810.209514,2760,10516178.26,1
Complex Hernia Procedures with CC Score 3-4,4958.137154,4958.137154,4958.137154,1314,6514992.22,1
Complex Hernia Procedures with CC Score 5+,6715.631888,6715.631888,6715.631888,890,5976912.38,1
Complex Infectious Diseases with Multiple Interventions,11980.85589,11980.85589,11980.85589,90,1078277.03,1
Complex Infectious Diseases with Single Intervention,7160.105118,7160.105118,7160.105118,170,1217217.87,1
Complex Infectious Diseases without Interventions,2490.40111,1024.48024,3709.684909,1511,2725735.77,3
Complex Instrumented Correction of Spinal Deformity,23564.57312,16891.30911,35620.69132,1731,32421594.42,5
Complex Intracranial Procedures,12686.06991,8400.646265,19232.65857,3753,42010885.84,7
Complex Intradural Spinal Procedures with CC Score 0-1,6139.850257,6139.850257,6139.850257,778,4776803.5,1
Complex Intradural Spinal Procedures with CC Score 2+,9685.198864,9685.198864,9685.198864,493,4774803.04,1
Complex Large Intestine Procedures,9246.507515,6865.273743,11952.70793,22881,178066095.4,4
Complex Long Term EEG Monitoring,2287.7647,2287.7647,2287.7647,4670,10683861.15,1
Complex Maxillofacial Procedures with CC Score 0,3981.435127,3981.435127,3981.435127,667,2655617.23,1
Complex Maxillofacial Procedures with CC Score 1+,10671.78757,10671.78757,10671.78757,325,3468330.96,1
Complex Neck Procedures,12187.53466,12187.53466,12187.53466,292,3558760.12,1
Complex Nose Procedures,1922.618179,1922.618179,1922.618179,1510,2903153.45,1
Complex Ocular Motility Procedures,1628.509972,1628.509972,1628.509972,356,579749.55,1
Complex Oculoplastics Procedures,1368.577942,1293.685355,1443.47053,5063,6688480.24,2
Complex Open,8434.247105,5500.930336,11612.06527,1375,11530819.39,3
Complex Open Bladder Procedures with CC Score 0-2,8429.479165,8429.479165,8429.479165,1185,9988932.81,1
Complex Open Bladder Procedures with CC Score 3+,12720.17813,12720.17813,12720.17813,785,9985339.83,1
Complex or Major,6327.098077,3916.671823,8938.902981,1261,7648323.6,5
Complex or Very Major,1652.79901,1652.79901,1652.79901,394,651202.81,1
Complex Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 0-4,3725.014937,3725.014937,3725.014937,715,2663385.68,1
Complex Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 10+,10079.89453,10079.89453,10079.89453,411,4142836.65,1
Complex Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 5-9,6296.318786,6296.318786,6296.318786,552,3475567.97,1
Complex Patch Tests,126.5583579,126.5583579,126.5583579,6717,850092.49,1
Complex Percutaneous Transluminal Ablation of Heart with CC Score 0-2,5897.187061,5897.187061,5897.187061,4655,27451405.77,1
Complex Percutaneous Transluminal Ablation of Heart with CC Score 3+,7265.182301,7265.182301,7265.182301,1434,10418271.42,1
Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 0-3,2972.548152,2972.548152,2972.548152,11280,33530343.16,1
Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 12+,7935.485139,7935.485139,7935.485139,574,4554968.47,1
Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 4-7,3696.76381,3696.76381,3696.76381,5415,20017976.03,1
Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 8-11,5042.696229,5042.696229,5042.696229,1318,6646273.63,1
Complex Procedures for Congenital Heart Disease with CC Score 0-6,11411.95837,11411.95837,11411.95837,836,9540397.2,1
Complex Procedures for Congenital Heart Disease with CC Score 15+,19642.00807,19642.00807,19642.00807,150,2946301.21,1
Complex Procedures for Congenital Heart Disease with CC Score 7-14,14211.51781,14211.51781,14211.51781,721,10246504.34,1
Complex Repair of Aortic Root with CC Score 0-6,14102.21127,14102.21127,14102.21127,150,2115331.69,1
Complex Repair of Aortic Root with CC Score 7+,19842.76431,19842.76431,19842.76431,197,3909024.57,1
Complex Repair of Ascending Thoracic Aorta with CC Score 0-6,12828.02694,12828.02694,12828.02694,235,3014586.33,1
Complex Repair of Ascending Thoracic Aorta with CC Score 7+,19921.9347,19921.9347,19921.9347,232,4621888.85,1
Complex Repair of Descending Thoracic Aorta,26290.99267,26290.99267,26290.99267,45,1183094.67,1
Complex Sinus Procedures,2920.48541,2920.48541,2920.48541,634,1851587.75,1
Complex Small Intestine Procedures,13790.67343,8374.257606,19500.93385,1974,27291743.18,4
Complex Spinal Reconstructive Procedures with CC Score 0-1,12185.33709,12185.33709,12185.33709,261,3180372.98,1
Complex Spinal Reconstructive Procedures with CC Score 2-3,12055.67145,12055.67145,12055.67145,200,2411134.29,1
Complex Spinal Reconstructive Procedures with CC Score 4-6,16795.23029,16795.23029,16795.23029,138,2317741.78,1
Complex Spinal Reconstructive Procedures with CC Score 7+,25109.03905,25109.03905,25109.03905,95,2385358.71,1
Complex Therapeutic Bronchoscopy,4758.784487,4758.784487,4758.784487,78,371185.19,1
Complex Therapeutic Endoscopic,1961.777855,1251.064373,2442.536115,6023,11570749.13,3
Complex Therapeutic Endoscopic Retrograde Cholangiopancreatography with CC Score 0-1,1810.660919,1810.660919,1810.660919,1295,2344805.89,1
Complex Therapeutic Endoscopic Retrograde Cholangiopancreatography with CC Score 2-4,2960.984313,2960.984313,2960.984313,1187,3514688.38,1
Complex Therapeutic Endoscopic Retrograde Cholangiopancreatography with CC Score 5+,5529.957355,5529.957355,5529.957355,794,4390786.14,1
Complex Thoracic Procedures,7879.018695,6540.256534,10227.26459,11100,86519107.18,5
Complex Tuberculosis,22467.56815,22467.56815,22467.56815,254,5706762.31,1
Complex Vitreous Retinal Procedures,1778.165061,1692.235181,1864.09494,9730,16811230.15,2
Computerised Tomography Scan of more than three areas,140.111195,140.111195,140.111195,41591,5827364.71,1
Computerised Tomography Scan of one area,103.6090994,55.94573247,134.7835193,1166202,113828477.2,7
Computerised Tomography Scan of three areas,118.6282982,116.2695001,120.9870963,364012,43896745.56,2
Computerised Tomography Scan of two areas,98.2386115,81.75357811,114.7236449,369902,38960471.55,2
Continuous Ambulatory Peritoneal Dialysis,132.174827,65.94596423,198.4036898,380759,26990948.93,2
Continuous Infusion of Therapeutic Substance for Pain Management,647.6527954,647.6527954,647.6527954,7584,4911798.8,1
Continuous Subcutaneous Insulin Infusion,650.4932014,650.4932014,650.4932014,1390,904185.55,1
Contrast Fluoroscopy,164.6079948,91.72881743,281.2914419,9400,1437930.27,3
Contrast Fluoroscopy Procedures with duration of 20 to 40 minutes,155.1318502,155.1318502,155.1318502,60247,9346228.58,1
Contrast Fluoroscopy Procedures with duration of less than 20 minutes,129.3609593,129.3609593,129.3609593,145007,18758244.63,1
Contrast Fluoroscopy Procedures with duration of more than 40 minutes,234.1295192,234.1295192,234.1295192,23542,5511877.14,1
Conventional EEG,216.6360598,151.6376076,281.6345119,174597,28514212.83,2
Core Needle Biopsy of Axillary Lymph Nodes,1472.046757,1472.046757,1472.046757,6592,9703732.22,1
Core Needle Biopsy of Lesion of Breast and Associated Lymph Nodes,415.6795364,415.6795364,415.6795364,949,394479.88,1
Creation of Dental Impression,149.6272256,137.6114113,161.6430399,47509,7117567.61,2
Cystectomy with Urinary Diversion and Reconstruction,9954.835134,8686.765289,11222.90498,1141,11179669.04,2
Cystic Fibrosis with CC Score 0,0,0,0,0,0,1
Cystic Fibrosis with CC Score 1+,0,0,0,0,0,1
Cytokine Inhibitor Drugs,1272.305168,1272.305168,1272.305168,306163,389532767.2,1
Cytomegalovirus Drugs,641.6402779,641.6402779,641.6402779,26123,16761568.98,1
Dacryoscintigraphy,191.6424113,191.6424113,191.6424113,423,81064.74,1
Data Invalid for Grouping,0,0,0,0,0,1
Deep Vein Thrombosis with CC Score 0-2,433.2450613,433.2450613,433.2450613,16885,7315342.86,1
Deep Vein Thrombosis with CC Score 12+,865.14919,865.14919,865.14919,4074,3524617.8,1
Deep Vein Thrombosis with CC Score 3-5,694.7481231,694.7481231,694.7481231,11210,7788126.46,1
Deep Vein Thrombosis with CC Score 6-8,836.5603981,836.5603981,836.5603981,6682,5589896.58,1
Deep Vein Thrombosis with CC Score 9-11,735.0567192,735.0567192,735.0567192,4755,3495194.7,1
Degenerative Spinal Conditions with Interventions,2558.28563,1395.518001,3721.053258,5948,11277226.2,2
Degenerative Spinal Conditions without Interventions,1937.93372,873.6423473,3449.990515,97425,100095225.6,4
Deliver a Fraction of Adaptive Radiotherapy on a Megavoltage Machine,165.6032232,165.6032232,165.6032232,609230,100890451.6,1
Deliver a Fraction of Complex Treatment on a Megavoltage Machine,132.9428318,132.9428318,132.9428318,988271,131383545.4,1
Deliver a Fraction of Interstitial Radiotherapy,1776.712331,1776.712331,1776.712331,2098,3727542.47,1
Deliver a Fraction of Intracavitary Radiotherapy with General Anaesthetic,558.5177164,558.5177164,558.5177164,1756,980757.11,1
Deliver a Fraction of Intracavitary Radiotherapy without General Anaesthetic,527.6760421,527.6760421,527.6760421,4371,2306471.98,1
Deliver a Fraction of Intraluminal Brachytherapy,1774.548332,1774.548332,1774.548332,1319,2340629.25,1
Deliver a Fraction of Radiotherapy on a Megavoltage Machine using General Anaesthetic,473.3170678,473.3170678,473.3170678,1371,648917.7,1
Deliver a Fraction of Total Body Irradiation,406.0032695,406.0032695,406.0032695,1462,593576.78,1
Deliver a Fraction of Treatment on a Megavoltage Machine,106.236332,106.236332,106.236332,221553,23536978.07,1
Deliver a Fraction of Treatment on a Superficial or Orthovoltage Machine,102.0752365,102.0752365,102.0752365,24776,2529016.06,1
Deliver Chemotherapy for Regimens not on the National List,283.4317387,283.4317387,283.4317387,82946,23509529,1
Deliver Complex Chemotherapy,383.1259927,383.1259927,383.1259927,213161,81667519.73,1
Deliver Exclusively Oral Chemotherapy,183.5043693,183.5043693,183.5043693,156365,28693660.7,1
Deliver more Complex Parenteral Chemotherapy at First Attendance,319.6224681,319.6224681,319.6224681,168338,53804607.04,1
Deliver Simple Parenteral Chemotherapy at First Attendance,236.1902181,236.1902181,236.1902181,300963,71084516.6,1
Deliver Subsequent Elements of a Chemotherapy Cycle,328.1017819,328.1017819,328.1017819,225355,73939377.05,1
Delivery of Other Radionuclide Therapy,806.0623375,806.0623375,806.0623375,8385,6758832.7,1
Denervation or Injection Around Spinal Facet,731.9465009,731.9465009,731.9465009,38559,28223125.13,1
